userName,content,score,at,appVersion,text,label,sentiment
Goenawann Sapoetrooe,pelayanan lama,0.8156888484954834,2022-04-29 10:19:59,4.41.1,"Translated(src=id, dest=en, text=b'long service', pronunciation=b'long service', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.8156888484954834}]"
Iman Syubidu,Gopay saya keblokir Sudah suruh poto KTP  selfi KTP katanya hasil banding ditolak padahal udah sesuai  poto terangjelas  Semoga bermanfaat uangnya gojek Kalau ada rate 0100 Saya kasih bintang 0  Nyesel sudah kenal gojek,0.9995707869529724,2022-05-08 04:27:27,4.41.1,"Translated(src=id, dest=en, text=b'My Gopay was blocked. I asked for a photo of my KTP selfie KTP, they said the appeal result was rejected even though it was in accordance with the clear photo. Hopefully the money will be useful, Gojek. If there is a rate of 0100, I'll give it 0 stars. Regret that I know Gojek.', pronunciation=b'My Gopay was blocked. I asked for a photo of my KTP selfie KTP, they said the appeal result was rejected even though it was in accordance with the clear photo. Hopefully the money will be useful, Gojek. If there is a rate of 0100, I'll give it 0 stars. Regret that I know Gojek.', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9995707869529724}]"
ahmad khoerudin,Nunggu agak lama,0.9971383810043335,2022-05-03 08:00:16,4.41.1,"Translated(src=id, dest=en, text=b'Wait a bit longer', pronunciation=b'Wait a bit longer', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9971383810043335}]"
distian haniel,Bagus,0.9998444318771362,2022-05-04 01:05:12,4.41.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Dadang Ridwan,Bagusbikin kenerja saya 2x lebih cepat,0.9997579455375671,2022-05-08 09:18:39,4.41.1,"Translated(src=id, dest=en, text=b'Good, makes my work 2x faster', pronunciation=b'Good, makes my work 2x faster', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997579455375671}]"
Jon Wira,Oke gojek,0.979335606098175,2022-04-28 11:24:27,4.41.1,"Translated(src=id, dest=en, text=b'Okay gojek', pronunciation=b'Okay gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.979335606098175}]"
Adi genagena,Terima kasih Gojek sangat membantu sekali,0.9998358488082886,2022-05-08 09:19:07,4.41.1,"Translated(src=id, dest=en, text=Thank you Gojek, it's very helpful', pronunciation=Thank you Gojek, it's very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998358488082886}]"
Priska Oktapiani,Baik buat pesan memesan,0.9986530542373657,2022-04-28 10:04:33,4.41.1,"Translated(src=id, dest=en, text=b'Good for ordering', pronunciation=b'Good for ordering', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9986530542373657}]"
budz x ali,Sangat membantu saya,0.9986670017242432,2022-04-28 08:43:04,4.41.1,"Translated(src=id, dest=en, text=b'Very helpful to me', pronunciation=b'Very helpful to me', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9986670017242432}]"
Wahyu Andriyan,Tidak ada fitur hapus nomer rekening yang sudah menjadi history feed ga bisa di hapus lucu sekali bin risih,0.9985355138778687,2022-04-28 21:10:43,4.41.1,"Translated(src=id, dest=en, text=There is no feature to delete account numbers that have become history feeds and cannot be deleted, it's really funny, I'm uncomfortable', pronunciation=There is no feature to delete account numbers that have become history feeds and cannot be deleted, it's really funny, I'm uncomfortable', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9985355138778687}]"
Muhamad Yamin,kasih dua bintang karena sudah di upgrade kok masih nggk bisa transfer uang,0.9931808710098267,2022-04-29 01:31:32,4.41.1,"Translated(src=id, dest=en, text=I give two stars because it has been upgraded, but I still can't transfer money.', pronunciation=I give two stars because it has been upgraded, but I still can't transfer money.', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9931808710098267}]"
Nazifa Rakha Pratama,Ada salah satu driver saat mengantarkan pesanan berprilaku kurang sopan sampai mengeluarkan katakata binatang,0.9976392984390259,2022-05-08 07:36:22,4.41.1,"Translated(src=id, dest=en, text=One of the drivers while delivering the order behaved impolitely to the point of uttering animal words., pronunciation=One of the drivers while delivering the order behaved impolitely to the point of uttering animal words., extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9976392984390259}]"
putu widi,Aplikasi tidak membatu  sya pesan goofood mau cancel salah pencet gk bisa pelayanan lama pokonya  buruk saya sebagai konsumen sudah hampir 3 kali telpun cs tetep aja gk di tanggulangi dan laporan sya di cuekin kecewa sebagai customer,0.9995354413986206,2022-04-29 13:58:51,4.41.1,"Translated(src=id, dest=en, text=b'The application doesn't help me ordering Goofood, I want to cancel, I press the wrong button, it doesn't work, the service takes a long time, it's really bad, I as a consumer have called CS almost 3 times, but it's still not answered and my report is ignored, disappointed as a customer', pronunciation=b'The application doesn't help me ordering Goofood, I want to cancel, I press the wrong button, it doesn't work, the service takes a long time, it's really bad, I as a consumer have called CS almost 3 times, but it's still not answered and my report is ignored, disappointed as a customer', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9995354413986206}]"
Andi Fatwa,Good,0.9998444318771362,2022-04-28 22:37:04,4.41.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Mamas Jhuna,Ok,0.9989097118377686,2022-05-03 15:33:17,4.41.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Agus Jalidin,Ok,0.9989097118377686,2022-04-29 14:06:01,4.41.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Nur Hasanah,Sip cepat dan tepat,0.9933085441589355,2022-04-29 14:08:17,4.41.1,"Translated(src=id, dest=en, text=b'Sip quickly and precisely', pronunciation=b'Sip quickly and precisely', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9933085441589355}]"
Riski Alfaris,Bagus,0.9998444318771362,2022-05-07 14:44:47,4.41.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Ayah Haji1,Baik dan nyaman,0.9998785257339478,2022-04-28 23:50:06,4.41.1,"Translated(src=id, dest=en, text=b'Nice and comfortable', pronunciation=b'Nice and comfortable', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998785257339478}]"
Nazly Taher,Banyakan voucher gofood nya dong,0.9907140731811523,2022-05-07 14:23:20,4.41.1,"Translated(src=id, dest=en, text=b'There are lots of Gofood vouchers, bro', pronunciation=b'There are lots of Gofood vouchers, bro', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9907140731811523}]"
Robby Pratama,Nunggu nyari drive nya lamaaa,0.9953908920288086,2022-04-29 10:26:33,4.41.1,"Translated(src=id, dest=en, text=Waiting for a long time to find the driver, pronunciation=Waiting for a long time to find the driver, extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9953908920288086}]"
CUMA AKUN BIASA,katanya kalo saldonya digunain orang gak kenal bisa balik lagi udah ditunggu sampe 3hari belum dikembaliin saya minta tolong,0.9986334443092346,2022-05-03 05:58:23,4.41.1,"Translated(src=id, dest=en, text=he said, if the balance is used, someone doesn't know it can be returned, I've been waiting for 3 days and it hasn't been returned, I'm asking for help.', pronunciation=he said, if the balance is used, someone doesn't know it can be returned, I've been waiting for 3 days and it hasn't been returned, I'm asking for help.', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9986334443092346}]"
Eny Setyawan,Good lah pokoke,0.9998544454574585,2022-05-03 03:43:27,4.41.1,"Translated(src=id, dest=en, text=b'Good is okay', pronunciation=b'Good is okay', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998544454574585}]"
Kankan Kurniawan,Go car responnya bagus dibandingkan Motor,0.9967202544212341,2022-04-28 08:45:10,4.41.1,"Translated(src=id, dest=en, text=b'Go car responds better than motorbike', pronunciation=b'Go car responds better than motorbike', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9967202544212341}]"
Oing Rohim,Bagus,0.9998444318771362,2022-04-28 22:22:14,4.41.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
prasetyo 28,Masih kesulitan memesan,0.9940869808197021,2022-05-07 13:45:24,4.41.1,"Translated(src=id, dest=en, text=b'Still having trouble ordering', pronunciation=b'Still having trouble ordering', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9940869808197021}]"
Azriel Kurniawan,mantap cuman di daerah Cisaga jarang atau emang gak ada pangkalan gojek jadi nya susah kalo nyari ojek tolong Gojek kalo bisa tambahin pangkalan di daerah ciamis,0.9953889846801758,2022-04-28 22:02:11,4.41.1,"Translated(src=id, dest=en, text=b'it's great but in the Cisaga area it's rare or there really aren't any Gojek stations so it's difficult to find a motorbike taxi, please help Gojek if possible add a base in the Ciamis area', pronunciation=b'it's great but in the Cisaga area it's rare or there really aren't any Gojek stations so it's difficult to find a motorbike taxi, please help Gojek if possible add a base in the Ciamis area', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9953889846801758}]"
Apen Ruspendi,Mantap,0.9997685551643372,2022-04-28 10:47:56,4.41.1,"Translated(src=id, dest=en, text=b'Great', pronunciation=b'Great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
Setiawan Shabhar,Terlalu lama,0.9992701411247253,2022-04-28 10:36:17,4.41.1,"Translated(src=id, dest=en, text=Too long', pronunciation=Too long', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992701411247253}]"
Yonatan,great,0.9997685551643372,2022-05-09 13:10:35,4.41.1,"Translated(src=id, dest=en, text=b'great', pronunciation=b'great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
Maria Ulfah,Top,0.9960929751396179,2022-04-29 14:20:23,4.41.1,"Translated(src=id, dest=en, text=b'Top', pronunciation=b'Top', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9960929751396179}]"
WALIYUL MURSIDDIN,Mau nanya tim gopay untuk pengembalian dana pada saat libur lebaran kapan yah soalnya hari ini kejadian top up gagal karena kena limit kira2 pengembalian dananya kapan,0.9994392991065979,2022-04-29 01:32:19,4.41.1,"Translated(src=id, dest=en, text=b'I want to ask the GoPay team for a refund during the Eid holiday, because today the top up incident failed because it was subject to a limit. I wonder when the refund will be', pronunciation=b'I want to ask the GoPay team for a refund during the Eid holiday, because today the top up incident failed because it was subject to a limit. I wonder when the refund will be', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9994392991065979}]"
Alan Alan,Gojek nya bagus kok,0.9998528957366943,2022-05-03 02:27:22,4.41.1,"Translated(src=id, dest=en, text=b'Gojek is good', pronunciation=b'Gojek is good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998528957366943}]"
