userName,content,score,at,appVersion,text,label,sentiment
Ulya Irawan,semenjak jd anak sultan trus upgrade versiuddh jarang bgt dpet promomengsediihhhhhhh,0.9825399518013,2022-09-20 16:29:46,4.51.1,"Translated(src=id, dest=en, text=b'since I became the son of the sultan and then upgrading the version, it's very rare to get promotions, it's sadhhhhhh', pronunciation=b'since I became the son of the sultan and then upgrading the version, it's very rare to get promotions, it's sadhhhhhh', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9825399518013}]"
Ronald Fridolin Onaola,Good,0.9998444318771362,2022-09-16 02:46:40,4.51.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Mas Sukis Sukis,Siiip,0.9936962723731995,2022-09-07 05:19:00,4.51.1,"Translated(src=id, dest=en, text=b'Yep', pronunciation=b'Yep', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9936962723731995}]"
Mul Yono,Terimakasih Telah mambantu,0.99982088804245,2022-09-08 02:49:57,4.51.1,"Translated(src=id, dest=en, text=Thank you for helping', pronunciation=Thank you for helping', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.99982088804245}]"
Oma Ocha,Baik bagus,0.999847412109375,2023-01-23 13:27:44,4.51.1,"Translated(src=id, dest=en, text=b'Good good', pronunciation=b'Good good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999847412109375}]"
Salsabila Alaydrus,Baguss aplikasi sangat membantuu,0.9991600513458252,2022-09-11 07:07:09,4.51.1,"Translated(src=id, dest=en, text=b Nice application, very helpful', pronunciation=b Nice application, very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9991600513458252}]"
hikma pujiati,Dulu saya selalu dapat voucher gofood 30 tapi setelah saya update gojek saya sudah tidak pernah dapat voucher gofood kira2 masalahnya apa,0.9992347955703735,2022-09-18 04:55:06,4.51.1,"Translated(src=id, dest=en, text=b'In the past I always got a Gofood 30 voucher but after I updated Gojek I never got a Gofood voucher, what's the problem?, pronunciation=b'In the past I always got a Gofood 30 voucher but after I updated Gojek I never got a Gofood voucher, what's the problem?, extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992347955703735}]"
Lativa Putri,padahal dari awal ada ojek online gue lebih milih gojek tapi makin kesini bad banget drivernya makin lama males2an milih milih pulaterus apa apa penumpang yang chat coba tolong gojek drivernya bener bener diliat kalo kaya gini makin males kl tiap pesen gojek selalu dicancel alesan kejauhan pdhl beda gang doang abangnyatlg lebih diperhatikan lagi ya untuk kedepannya yang ingin jd driver,0.9995898604393005,2022-09-24 22:21:57,4.51.1,"Translated(src=id, dest=en, text=Even though from the beginning there were online motorbike taxis, I preferred GoJek, but the more I get here, the drivers are really bad, the longer they are too lazy to choose, then what are the passengers who chat, try to help GoJek, the driver really looks at it, if it's like this, it's getting annoying if every time you order GoJek, it's always canceled because it's too far away. It's just a different gang, brother. Pay more attention for those who want to be drivers in the future.', pronunciation=[[]], extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9995898604393005}]"
Eka Erlangga,Oke,0.9986165761947632,2022-09-11 07:08:30,4.51.1,"Translated(src=id, dest=en, text=b'Okay', pronunciation=b'Okay', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9986165761947632}]"
Bagja Khan,Ok,0.9989097118377686,2022-09-20 16:16:50,4.51.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Sumarti Purbalingga,Sangat membantu dalam keadaan apapun,0.9972212314605713,2022-09-11 07:09:03,4.51.1,"Translated(src=id, dest=en, text=b'Very helpful in any situation', pronunciation=b'Very helpful in any situation', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9972212314605713}]"
Brian Azarel,Sangat membantu,0.9994805455207825,2022-09-23 13:56:12,4.51.1,"Translated(src=id, dest=en, text=b'Very helpful', pronunciation=b'Very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9994805455207825}]"
Delan Tan,Bingung aja sih,0.9987649917602539,2022-10-19 14:05:44,4.51.1,"Translated(src=id, dest=en, text=b'Just confused', pronunciation=b'Just confused', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9987649917602539}]"
Amat Fatahyasin,Sangat bagus,0.9998596906661987,2022-09-16 05:52:49,4.51.1,"Translated(src=id, dest=en, text=b'Very good', pronunciation=b'Very good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998596906661987}]"
Marcelaa im,Naik Gojek lancar jaya,0.9997132420539856,2022-09-24 12:23:36,4.51.1,"Translated(src=id, dest=en, text=b'Riding Gojek goes smoothly', pronunciation=b'Riding Gojek goes smoothly', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997132420539856}]"
fandi ahmad,good,0.9998444318771362,2023-05-26 01:45:07,4.51.1,"Translated(src=id, dest=en, text=b'good', pronunciation=b'good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Ady Syahyandani,Sengaja download buat kasih bintang satu iklanmu mengganggu istriku dia takut lihat iklannya ,0.9989627599716187,2022-09-07 13:45:06,4.51.1,"Translated(src=id, dest=en, text=b'Deliberately downloaded to give me one star, your ad annoys my wife, she's afraid to see the ad', pronunciation=b'Deliberately downloaded to give me one star, your ad annoys my wife, she's afraid to see the ad', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9989627599716187}]"
m akbar satria,coba nyariin driver nya dekat,0.9966065883636475,2022-09-07 13:42:40,4.51.1,"Translated(src=id, dest=en, text=b'try looking for a driver nearby', pronunciation=b'try looking for a driver nearby', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9966065883636475}]"
Michael Justin Gesitera,Masa harus nunggu sejam sih biar bisa login terus ditambah ribentya harus upgrade ke Go Plus Yang tadinya buru buru  kelaparan udah ga mood lagi pake nih aplikasih,0.9992465972900391,2022-09-11 03:01:36,4.51.1,"Translated(src=id, dest=en, text=b'How come you have to wait an hour to be able to log in, plus the hassle of having to upgrade to Go Plus. Those who were in a hurry and hungry are no longer in the mood to use this application.', pronunciation=b'How come you have to wait an hour to be able to log in, plus the hassle of having to upgrade to Go Plus. Those who were in a hurry and hungry are no longer in the mood to use this application.', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992465972900391}]"
Yunaludiana Yunaludiana,Sangat puas,0.9995587468147278,2022-09-07 13:38:44,4.51.1,"Translated(src=id, dest=en, text=b'Very satisfied', pronunciation=b'Very satisfied', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9995587468147278}]"
Jenal Abidin,Setelah di instal ulang tarif jadi mahal tidak seperti biasanya padahal tujuan kami di lokasi lokasi terntentu dan langganan di jm yang sama setiap kami pesan ojol tolong di perbaiki dan seperti biasanya mengenai tarif terimakasih kami pelanggan setia gojek,0.9982265830039978,2022-09-11 01:19:09,4.51.1,"Translated(src=id, dest=en, text=b'After reinstalling the tariff, the tariff is not as expensive as usual, even though our destination is at a certain location and we subscribe at the same time every time we order a motorbike taxi, please fix it and as usual regarding the tariff, thank you, we are loyal Gojek customers.', pronunciation=b'After reinstalling the tariff, the tariff is not as expensive as usual, even though our destination is at a certain location and we subscribe at the same time every time we order a motorbike taxi, please fix it and as usual regarding the tariff, thank you, we are loyal Gojek customers.', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9982265830039978}]"
brigelia qinthari,Ini aplikasi lagi error atau gimana si masa tiap buka lagsung keluar sendiri dan ada tulisa n gojek terus berhenti,0.9995062351226807,2022-09-07 13:32:56,4.51.1,"Translated(src=id, dest=en, text=b'Is this application having an error or something like that, every time you open it it immediately exits and it says ""gojek"" and then it stops', pronunciation=b'Is this application having an error or something like that, every time you open it it immediately exits and it says ""gojek"" and then it stops', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9995062351226807}]"
Egas 29,Terbaik dan terlove2 deh kang2 gojek nya,0.9997795224189758,2022-09-18 02:04:39,4.51.1,"Translated(src=id, dest=en, text=b'The best and most loved, bro, Gojek', pronunciation=b'The best and most loved, bro, Gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997795224189758}]"
Ace Borneo,Lancar mantap,0.9998413324356079,2023-04-24 11:17:05,4.51.1,"Translated(src=id, dest=en, text=b'Smooth and steady', pronunciation=b'Smooth and steady', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998413324356079}]"
Dewi Anita,gojek makin lama makin gjls,0.9997078776359558,2023-01-29 11:13:08,4.51.1,"Translated(src=id, dest=en, text=b'Gojek is getting more and more annoying', pronunciation=b'Gojek is getting more and more annoying', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9997078776359558}]"
Uli Uli,Aplikasinya bagus sih tp lama kelamaan jadi gak ada promo,0.9889255166053772,2023-01-26 14:04:41,4.51.1,"Translated(src=id, dest=en, text=The application is good but after a while there are no promotions', pronunciation=The application is good but after a while there are no promotions', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9889255166053772}]"
sonny sonny leo,Gojek terbaik untuk cara yg lebih baik good luck ,0.9997512698173523,2022-09-07 13:28:14,4.51.1,"Translated(src=id, dest=en, text=b'Gojek is the best for a better way good luck', pronunciation=b'Gojek is the best for a better way good luck', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997512698173523}]"
DJ Yorie,terbaik mudah kemana mana,0.988595187664032,2022-10-20 07:38:27,4.51.1,"Translated(src=id, dest=en, text=b'best, easy to go anywhere', pronunciation=b'best, easy to go anywhere', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.988595187664032}]"
Rini Naalk,Ok,0.9989097118377686,2022-09-11 03:06:59,4.51.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Syukri Alhamda,Aplikasi nya luar biasa,0.999862790107727,2022-11-12 14:53:35,4.51.1,"Translated(src=id, dest=en, text=b'The app is amazing', pronunciation=b'The app is amazing', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.999862790107727}]"
Doni Dona,sangat buru saldo hilang tidak bisa kembali sangat mengecewakan penaganan lambay,0.9995288848876953,2022-09-16 10:30:25,4.51.1,"Translated(src=id, dest=en, text=b'very quickly lost balance can't get it back very disappointing slow handling', pronunciation=b'very quickly lost balance can't get it back very disappointing slow handling', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9995288848876953}]"
maspuguh s,Aplikasi sangat membantu,0.9976463913917542,2022-09-07 13:24:09,4.51.1,"Translated(src=id, dest=en, text=b'The app is very helpful', pronunciation=b'The app is very helpful', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9976463913917542}]"
