userName,content,score,at,appVersion,text,label,sentiment
Teguh Rianto,Susah jarang dpt vocer gofood jd serba mahal mngecewakan d saat gk punyauang,0.9992499947547913,2022-07-22 09:07:58,4.47.1,"Translated(src=id, dest=en, text=b It's rare to get Gofood vouchers so everything is so expensive it's disappointing d when you don't have money', pronunciation=b It's rare to get Gofood vouchers so everything is so expensive it's disappointing d when you don't have money', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9992499947547913}]"
Lilik Pramono,Goodd,0.9998444318771362,2022-07-22 12:20:31,4.47.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Monita Tata,Keren banget Sangat membantu mobilitas Terima kasih gojek,0.9997604489326477,2022-07-22 13:23:30,4.47.1,"Translated(src=id, dest=en, text=b'Very cool. Very helpful for mobility. Thank you Gojek', pronunciation=b'Very cool. Very helpful for mobility. Thank you Gojek', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997604489326477}]"
Ali Naparin,Ok,0.9989097118377686,2022-07-22 13:21:45,4.47.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
edwin febrianto,Muehehwhhe,0.9808046221733093,2022-07-10 14:02:06,4.47.1,"Translated(src=id, dest=en, text=b'Muehehwhhe', pronunciation=b'Muehehwhhe', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9808046221733093}]"
Kae Ger,Aplikasi berguna,0.9991915822029114,2022-07-22 13:17:02,4.47.1,"Translated(src=id, dest=en, text=Useful app', pronunciation=Useful app', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9991915822029114}]"
Asgar Garut,Alhamdulilah memuaskan terimakasih semoga sukses selalu aamiin,0.9998388290405273,2022-07-22 13:06:26,4.47.1,"Translated(src=id, dest=en, text=Alhamdulillah, satisfying, thank you, good luck always, aamiin', pronunciation=Alhamdulillah, satisfying, thank you, good luck always, aamiin', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998388290405273}]"
Minarnisartika Tika,Mantap,0.9997685551643372,2022-07-22 12:59:17,4.47.1,"Translated(src=id, dest=en, text=b'Great', pronunciation=b'Great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
Sentosa Purba,Mantap,0.9997685551643372,2022-07-22 12:57:00,4.47.1,"Translated(src=id, dest=en, text=b'Great', pronunciation=b'Great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
Endang Saptarini,Good,0.9998444318771362,2023-11-15 04:06:38,4.47.1,"Translated(src=id, dest=en, text=b'Good', pronunciation=b'Good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998444318771362}]"
Rachmad gemilang S.p,Di tempat saya blm ada ternyata saya tunggu ya kak,0.995018482208252,2022-07-22 12:35:12,4.47.1,"Translated(src=id, dest=en, text=b'It's not there yet at my place, but I'll wait, bro', pronunciation=b'It's not there yet at my place, but I'll wait, bro', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.995018482208252}]"
Hari Sampurno,perbanyak dicount dan ongkir jangan mahal,0.9269886612892151,2022-07-22 12:34:48,4.47.1,"Translated(src=id, dest=en, text=increase discounts and don't have expensive postage', pronunciation=increase discounts and don't have expensive postage', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9269886612892151}]"
Syahfa Mebel,Sangt mudah,0.9906598925590515,2022-07-22 12:31:14,4.47.1,"Translated(src=id, dest=en, text=b'It's really easy', pronunciation=b'It's really easy', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9906598925590515}]"
Hanifa Sofa,Baik sekali,0.9998596906661987,2022-07-22 12:29:19,4.47.1,"Translated(src=id, dest=en, text=b'Very good', pronunciation=b'Very good', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9998596906661987}]"
Apriyanti Al Husna,Seneng klo promonya mantulll,0.9990659356117249,2022-07-22 12:28:40,4.47.1,"Translated(src=id, dest=en, text=b'I'm glad the promo helps', pronunciation=b'I'm glad the promo helps', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9990659356117249}]"
Arial Jaya,Pesanan ga d respon driver padahal jarak driver k lokasi saya paling 300 meter pelayanan nya makin lama makin buruk,0.9996786117553711,2022-07-22 12:24:48,4.47.1,"Translated(src=id, dest=en, text=The driver didn't respond to the order, even though the distance between the driver and my location was at least 300 meters, the service got worse and worse.', pronunciation=The driver didn't respond to the order, even though the distance between the driver and my location was at least 300 meters, the service got worse and worse.', extra_data=""{'translat..."")",NEGATIVE,"[{'label': 'NEGATIVE', 'score': 0.9996786117553711}]"
Mochamad Rivaldi,The Best Startup Di Indonesia,0.9997835755348206,2022-07-22 12:22:42,4.47.1,"Translated(src=id, dest=en, text=be The Best Startup in Indonesia', pronunciation=be The Best Startup in Indonesia', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997835755348206}]"
Mesi Ponsel,Ok,0.9989097118377686,2022-07-22 12:21:13,4.47.1,"Translated(src=id, dest=en, text=b'Ok', pronunciation=b'Ok', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9989097118377686}]"
Lulu Noranda,Mantap,0.9997685551643372,2022-07-22 11:23:58,4.47.1,"Translated(src=id, dest=en, text=b'Great', pronunciation=b'Great', extra_data=""{'translat..."")",POSITIVE,"[{'label': 'POSITIVE', 'score': 0.9997685551643372}]"
